estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1057,2025-07-17 12:44:04,2625,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,1,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,4
1435,2025-07-17 22:17:28,2850,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
923,2025-07-17 23:16:19,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,3,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,3
1576,2025-07-17 11:52:00,2775,2h,3,1,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
776,2025-07-17 08:15:37,2625,2h,3,3,3,5,3,4,5,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,4,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1303,2025-07-17 16:54:37,1950,2h,3,4,2,4,3,4,1,1,1,5,3,2,4,2,3,1,2,4,2,1,1,2,1,4,3,2,2,1,3,2,3,3,2,3,1,3,5,1,4,4,4
391,2025-07-17 22:32:36,2475,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,3,2,1,2,5,5,2,3,2,1,4,3,2,2,3,4,2,3,3,5,2,1,3,1,2,4,5,4
843,2025-07-17 22:10:57,2700,2h,3,3,3,5,3,4,1,1,2,5,3,2,4,2,1,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
739,2025-07-17 21:44:05,2250,2e,3,3,3,5,3,2,5,3,5,5,3,2,5,5,2,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,2,5,3
1128,2025-07-17 23:18:33,675,2h,3,1,5,3,3,5,1,4,3,2,1,1,5,1,1,3,2,3,1,1,2,1,5,5,2,1,2,3,1,2,2,3,3,1,1,2,3,2,3,1,4
409,2025-07-17 13:45:12,2025,2h,3,5,3,5,3,2,1,1,1,5,3,2,4,5,4,1,2,5,2,2,3,2,1,4,3,2,2,3,1,2,3,5,2,1,1,4,1,5,5,1,3
