estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1684,2025-07-17 17:48:34,2064,2c,2,3,4,3,4,1,3,2,1,3,2,5,2,2,4,1,3,3,2,1,4,1,3,2,5,3,2,5,4,3
1518,2025-07-17 08:36:05,2272,2c,2,3,4,3,4,1,3,2,2,3,2,5,1,3,3,4,5,4,1,1,4,1,3,2,3,3,2,5,4,3
1641,2025-07-17 11:26:42,1656,2c,2,1,4,3,4,1,3,2,1,3,1,5,3,1,5,5,3,2,5,1,4,1,4,1,3,3,4,5,4,3
692,2025-07-17 19:01:04,1752,2c,2,3,4,3,1,3,5,2,2,3,2,4,2,1,4,4,5,4,3,2,1,1,3,2,3,3,2,5,4,5
1468,2025-07-17 21:26:19,2168,2c,2,3,4,3,4,1,3,2,2,3,3,4,4,4,5,4,5,5,4,3,3,1,2,2,5,3,2,5,4,3
1042,2025-07-17 22:12:56,1960,2c,2,3,4,3,4,1,3,2,1,3,2,5,1,3,5,4,3,5,5,1,4,1,3,4,5,3,2,2,5,5
1305,2025-07-17 21:55:40,2072,2c,2,3,1,3,4,4,1,2,2,3,2,5,2,3,4,4,5,3,4,1,4,1,3,2,5,3,2,5,3,3
1538,2025-07-17 09:11:24,2072,2c,2,3,5,3,4,2,3,2,2,3,2,5,5,3,5,5,4,1,5,1,4,1,3,2,5,3,3,5,3,3
105,2025-07-18 02:18:13,2792,2c,2,3,4,3,4,1,3,2,2,3,5,5,2,3,5,4,5,1,4,1,4,1,3,2,5,3,2,5,4,3
1398,2025-07-17 11:15:12,1752,2c,2,3,4,3,4,2,3,2,3,3,4,5,3,3,2,4,5,4,3,1,4,1,3,4,2,5,1,5,4,3
645,2025-07-17 08:02:15,2480,2d,2,3,4,3,4,1,3,2,2,3,5,5,4,3,5,4,3,4,1,1,4,1,3,2,5,3,2,5,4,3
1293,2025-07-17 20:33:09,2688,2d,2,3,4,3,4,2,3,2,2,3,5,5,1,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
1547,2025-07-17 20:21:22,2792,2d,2,3,4,3,4,1,3,2,2,3,5,4,3,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,5
1584,2025-07-17 22:23:32,2584,2d,2,3,4,5.,4,1,3,2,2,3,2,5,5,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
1237,2025-07-17 22:17:56,2688,2d,2,3,4,3,4,4,3,2,2,3,5,4,2,3,4,4,5,1,5,1,4,1,3,2,5,3,1,5,4,3
580,2025-07-17 22:02:25,2272,2d,2,3,4,3,4,2,3,2,2,3,2,5,1,3,5,5,4,5,5,1,4,1,3,2,5,3,2,5,4,3
963,2025-07-17 19:57:02,2688,2d,2,3,4,3,4,1,3,2,2,3,5,5,3,1,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
181,2025-07-17 20:48:47,2168,2d,2,3,4,3,4,1,3,2,2,3,5,5,2,1,3,5,3,1,5,3,2,5,3,2,5,3,2,5,4,3
1597,2025-07-17 22:27:08,2272,2d,2,3,4,3,4,2,3,2,2,3,3,5,1,3,5,2,5,1,4,1,4,1,3,2,5,3,1,5,4,3
463,2025-07-17 22:50:42,2480,2d,2,3,4,3,4,1,3,2,2,3,2,5,1,3,5,4,5,1,5,1,3,2,3,2,5,3,2,5,4,3
91,2025-07-17 20:10:49,1968,2d,2,4,4,3,4,1,3,2,2,3,5,5,1,3,5,4,5,1,3,1,3,1,3,3,5,4,3,1,1,3
1511,2025-07-17 18:40:15,2384,2d,2,4,4,3,4,1,3,2,2,3,5,5,1,3,5,4,5,1,5,1,4,1,3,3,5,3,2,2,4,1
1082,2025-07-17 13:45:37,2480,2d,2,3,4,3,4,2,3,2,1,3,5,4,1,3,5,4,5,4,5,1,4,3,3,2,5,3,2,5,4,3
1214,2025-07-17 19:27:10,2272,2d,2,3,4,3,4,1,3,2,2,3,2,5,1,3,3,4,3,4,1,1,4,1,3,2,5,3,2,5,4,3
1545,2025-07-17 22:51:04,2480,2d,2,3,4,3,4,1,3,2,2,3,2,5,1,3,5,4,5,1,5,1,3,3,3,2,5,3,2,5,4,3
1119,2025-07-17 14:27:44,2376,2d,2,3,4,3,4,1,3,2,2,3,2,5,4,3,4,4,3,1,5,1,4,1,3,2,4,3,2,5,4,3
1221,2025-07-17 12:09:19,2592,2d,2,3,5,3,4,2,3,2,2,3,5,5,2,3,5,4,5,1,4,1,4,1,3,2,5,3,2,5,4,3
1414,2025-07-17 18:02:59,2896,2d,2,3,4,3,4,1,3,2,2,3,5,4,3,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
420,2025-07-17 16:19:16,2688,2d,2,3,4,3,4,1,3,2,2,3,2,3,3,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
701,2025-07-17 08:57:38,2376,2d,2,3,4,3,4,1,3,2,1,3,1,5,4,3,2,4,5,1,5,1,3,1,3,2,5,3,2,5,4,3
1253,2025-07-17 17:51:46,2280,2d,2,4,4,3,4,1,3,2,1,3,5,5,1,3,5,4,3,2,5,1,4,2,3,2,5,3,2,5,4,3
444,2025-07-17 16:45:47,720,2d,2,3,1,3,3,4,3,1,3,3,4,1,4,2,1,3,2,2,3,1,2,5,2,3,3,2,2,1,4,4
128,2025-07-17 18:48:56,2584,2d,2,3,4,3,4,1,3,2,2,3,2,5,2,3,5,4,5,1,2,1,4,1,3,3,5,3,2,5,4,3
1465,2025-07-17 23:43:38,2688,2d,2,3,4,3,4,1,3,2,2,3,2,5,1,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
235,2025-07-17 15:19:57,2896,2d,2,3,4,3,4,1,3,2,2,3,5,4,3,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
1273,2025-07-17 15:02:24,2168,2d,2,3,4,3,4,1,3,2,1,3,5,5,2,3,1,1,5,4,3,3,3,1,3,2,5,3,2,5,4,3
1267,2025-07-17 14:22:11,2480,2d,2,3,4,3,4,1,3,2,2,3,5,5,1,3,5,4,5,1,1,1,4,1,3,2,2,3,5,5,4,3
1535,2025-07-17 20:53:31,2376,2d,2,3,4,3,4,2,3,2,2,3,2,4,4,3,3,4,5,4,2,1,4,1,3,2,5,3,2,5,4,3
620,2025-07-18 05:53:22,1960,2d,2,3,4,5.,4,4,3,2,1,3,4,5,4,3,4,4,4,1,4,1,4,5,3,2,5,3,2,5,4,3
1108,2025-07-17 17:26:42,2584,2d,2,3,4,3,4,1,3,2,1,3,5,5,2,3,5,4,1,4,5,1,4,1,3,2,5,3,2,5,4,3
1117,2025-07-17 20:26:21,1960,2d,2,3,4,3,4,4,3,2,4,3,5,4,3,1,5,1,5,1,4,1,4,1,4,2,2,3,2,3,4,5
