estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1529,2025-07-16 14:05:44,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
117,2025-07-16 20:24:34,2600,2n,0,3,1,2,3,5,3,4,2,1,3,2,3,3,2,2
1526,2025-07-16 15:09:40,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1193,2025-07-16 19:02:06,2000,2n,0,3,3,3,3,3,3,4,1,1,3,2,3,3,2,2
1157,2025-07-16 10:25:14,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
778,2025-07-16 20:36:22,2600,2n,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
1256,2025-07-16 19:12:43,2400,2n,0,3,5,2,3,1,3,4,5,1,3,2,3,3,2,2
896,2025-07-16 21:40:46,2800,2n,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
49,2025-07-16 10:53:01,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1436,2025-07-16 21:36:53,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1063,2025-07-16 21:41:26,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1181,2025-07-16 10:52:49,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1281,2025-07-16 22:09:28,2400,2o,0,3,3,2,3,5,3,4,2,1,3,2,3,5,2,2
178,2025-07-16 22:33:29,2200,2o,0,3,5,2,3,3,3,4,1,1,1,2,3,3,2,2
400,2025-07-17 08:51:01,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
134,2025-07-16 20:37:56,2400,2o,0,3,3,2,3,4,3,4,2,1,3,2,3,3,2,2
1693,2025-07-16 20:37:11,2600,2o,0,3,3,2,3,5,3,4,2,1,3,2,3,3,2,2
1139,2025-07-16 15:24:48,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
240,2025-07-19 08:58:33,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
593,2025-07-16 22:40:19,1000,2o,0,4,1,2,5,5,5,4,4,1,5,1,5,2,3,2
1683,2025-07-16 18:57:43,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
970,2025-07-16 09:33:06,800,2o,0,4,4,3,2,2,2,4,3,2,1,3,1,4,2,2
600,2025-07-16 10:28:59,2800,2o,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
